#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)"
2000,405701.11260813044,99885.72575910948,466.19936637820575
4000,405930.30010813044,100663.64154287009,469.8301538879188
6000,405128.67510813044,99575.77551473142,464.7527271668503
8000,406159.80010813044,99821.49939859519,465.89960093775886
10000,404983.17510813044,99348.92089432706,463.6939224228418
12000,404118.80010813044,101586.44220523746,474.1371665348167
14000,404513.67510813044,100713.97581555182,470.06508040873047
16000,406050.48760813044,100859.96987890778,470.74648247408334
18000,406416.17510813044,100173.0726411934,467.5405083015407
20000,405582.73760813044,99886.76981661213,466.20423933620344
22000,405428.42510813044,99919.284576179,466.3559963584688
24000,406543.80010813044,101355.26795224706,473.05820065207394
26000,406050.05010813044,100025.11706693657,466.8499512229746
28000,404468.05010813044,101905.85295298789,475.627961011044
30000,405426.30010813044,100352.76001151558,468.3791680555118
32000,405188.80010813044,100498.41728612641,469.05899821758834
34000,405381.86260813044,101117.81313608866,471.94992132592205
36000,405757.86260813044,100817.72160852549,470.54929597187686
38000,404462.30010813044,99671.43179030158,465.1991863052507
40000,405488.17510813044,99701.88429031381,465.3413180873692
42000,404870.17510813044,100584.68012815667,469.4616151279713
44000,405566.30010813044,101000.37863323334,471.4018160745859
46000,405137.55010813044,100697.74965780042,469.98934762103767
48000,405261.67510813044,101960.5987068566,475.88347735806485
50000,404779.11260813044,101082.4459076554,471.7848508980823
52000,405656.23760813044,100165.61683012731,467.50570959163065
54000,404439.05010813044,101340.53418935183,472.98943335951117
56000,405338.98760813044,100614.03185933875,469.59860926176964
58000,406751.17510813044,100880.06792988675,470.8402866544166
60000,406282.67510813044,100317.28457317397,468.21359257662175
62000,404206.05010813044,101067.56605046708,471.7154017356492
64000,406125.61260813044,100574.45894921431,469.4139095413086
66000,405786.05010813044,100455.09534516092,468.8568005434473
68000,405266.61260813044,101239.31191022904,472.51699586124226
70000,406064.48760813044,100888.96275749127,470.8818017253816
72000,404299.80010813044,101563.61065296829,474.0306042095152
74000,405318.42510813044,101420.75420503551,473.36384642202194
76000,404417.55010813044,101303.35452307388,472.8159036911906
78000,406579.92510813044,101145.00697999343,472.0768438937008
80000,404929.86260813044,101357.75773326051,473.06982127476124
82000,406053.23760813044,101543.92755943816,473.9387367713766
84000,405631.55010813044,100981.08172158129,471.3117510736373
86000,405211.61260813044,99815.84289367404,465.8732001783899
88000,403931.05010813044,100540.18425738846,469.25393833931173
90000,405010.23760813044,99693.17242236412,465.30065694898076
92000,404903.30010813044,100303.02639369573,468.14704498748483
94000,405745.23760813044,100086.45120451972,467.1362177126188
96000,405179.05010813044,101072.28463145881,471.73742489713527
98000,405762.17510813044,100358.18677102262,468.4044965178566
100000,405861.36260813044,100895.01741295028,470.91006078359214
102000,404698.23760813044,99921.26142429817,466.3652229554984
104000,405424.42510813044,100367.11207604199,468.4461538368893
106000,405150.86260813044,99923.79510349873,466.3770484653891
108000,406129.92510813044,100530.13710055687,469.2070449707829
110000,405631.05010813044,100228.35780629795,467.79854225730344
112000,404776.67510813044,101685.38029401551,474.59894296932185
114000,404524.73760813044,101087.90049661126,471.81030924957093
116000,405910.05010813044,101809.09716485301,475.17637008772545
118000,407646.36260813044,101164.32437151857,472.1670044809184
120000,405189.55010813044,100759.14693347714,470.27590879682435
122000,405387.55010813044,100871.93610868184,470.802332783987
124000,405118.98760813044,99517.87648702506,464.48249345902593
126000,405199.80010813044,101121.16053317394,471.9655447234427
128000,404567.73760813044,101104.01662995073,471.88552851733147
130000,406074.36260813044,100862.63751333463,470.7589331968475
132000,407474.05010813044,101293.64860746916,472.7706030071274
134000,405251.36260813044,102061.8888338171,476.3562315243932
136000,405612.23760813044,101738.14319559117,474.8452046958689
138000,405479.67510813044,100227.65184425656,467.7952473014538
140000,405220.42510813044,100329.51931612019,468.2706961253619
142000,404888.80010813044,101334.88025404792,472.9630445933867
144000,405719.80010813044,101718.94831693126,474.75561591628156
146000,405753.48760813044,101032.15683358791,471.55013533399307
148000,405089.05010813044,100705.4179851102,470.0251382137958
150000,404905.30010813044,100579.61661304708,469.437982046089
152000,405775.42510813044,100406.20171303768,468.62859796352353
154000,405119.30010813044,100517.47613818513,469.14795211651784
156000,405193.05010813044,100708.38163260184,470.03897052639377
158000,405337.30010813044,101050.33389845642,471.6349736435705
160000,404595.92510813044,100579.03693380207,469.43527649337193
162000,405734.86260813044,101644.24918927392,474.40697064471556
164000,405851.80010813044,100011.388967067,466.78587768882215
166000,406462.23760813044,100156.48204720742,467.4630745706915
168000,405424.48760813044,100243.37445546233,467.86862987264936
170000,406288.80010813044,101601.90300787799,474.2093271597703
172000,404804.80010813044,101299.48011526465,472.79782056217465
174000,405623.30010813044,101008.41300291172,471.4393151068535
176000,405004.48760813044,100323.98854998109,468.2448822300326
178000,404732.30010813044,100481.76517917914,468.98127738562084
180000,405307.80010813044,99600.92750071222,464.8701197155683
182000,404258.30010813044,100267.11595730623,467.9794392303667
184000,404464.11260813044,101257.64222204732,472.6025494244792
186000,404849.30010813044,100633.22574178921,469.68819339172154
188000,405660.61260813044,100735.66161283548,470.1662951206046
190000,405365.17510813044,101131.48478466173,472.013731383402
192000,404494.17510813044,101078.32767487271,471.76562975813164
194000,405174.30010813044,100135.65713062184,467.3658778707297
196000,405494.92510813044,100476.82872755663,468.95823735061
198000,405497.67510813044,101243.9423599001,472.5386076850168
200000,406099.17510813044,101243.53635739908,472.5367127384938
202000,405806.92510813044,100281.99294139468,468.0488749831026
204000,405592.17510813044,100479.2409663829,468.9694960585366
