#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,393046.61260813044,90089.13341385708,420.47546429597327,237.78253861705232,1.2047930883736577
4000,392411.80010813044,90465.12771674001,422.23035273907846,236.850498918155,1.209534116965324
6000,393270.42510813044,90623.10373538651,422.9676785104661,236.9435190538348,1.2090592737279198
8000,393469.55010813044,91033.61506147962,424.88366919543375,238.51583991408273,1.201089031088926
10000,392165.86260813044,91271.12406242825,425.9922014197318,237.5146206262614,1.2061521025796242
12000,392062.61260813044,90289.88597533805,421.41244218996127,236.6585283943662,1.2105152559065215
14000,393205.30010813044,91129.52756649989,425.33132424052025,236.83537200283368,1.20961137113564
16000,392241.55010813044,91721.84637327516,428.09586992824427,237.0450600843104,1.2085413590136591
18000,393864.61260813044,90745.79585694196,423.5403227886555,236.8322201030679,1.2096274693413473
20000,392690.23760813044,91033.01921110484,424.88088816676253,237.06378620527417,1.2084458940249283
22000,393065.92510813044,90686.5213354472,423.2636692012364,237.69048654800386,1.205259677079713
24000,392678.55010813044,91318.95957118785,426.21546539168196,236.11089696735255,1.2133229035226565
26000,392023.80010813044,91053.57282717153,424.9768186184287,236.8830578323404,1.2093678698817252
28000,392842.55010813044,89987.20978807611,419.9997533833585,236.82053969220772,1.2096871303228147
30000,393413.17510813044,90479.2685839588,422.296352793514,235.26670716684023,1.2176765786865438
32000,393023.86260813044,90439.70354058035,422.1116897897307,236.15176100220464,1.213112948410715
34000,392673.23760813044,91240.63243224658,425.8498870043086,235.91630090061406,1.2143237155216913
36000,391710.48760813044,91091.91427512234,425.1557707019706,236.4275404390817,1.2116979203426663
38000,392351.42510813044,90446.51894099638,422.14349949358393,236.1466646156781,1.2131391291424882
40000,392073.61260813044,90757.8407138189,423.5965400769765,236.47548086109782,1.2114522741156424
42000,392140.98760813044,90394.62263632286,421.901282458344,235.88441107088755,1.2144878831169343
44000,391718.36260813044,90244.12110397732,421.1988425602984,235.90828834769985,1.214364959655561
46000,392407.05010813044,89860.80664944416,419.40978857416695,236.49174685849488,1.2113689499413351
48000,393115.92510813044,91717.69104677625,428.0764756597823,236.95629676874177,1.2089940759892819
50000,393092.73760813044,90995.64125666162,424.70643302269156,237.95737512910074,1.2039078801669485
52000,392620.80010813044,90104.35271711196,420.54649776427135,236.38701894119262,1.2119056297801023
54000,394117.92510813044,91042.63189375628,424.92575370212546,237.25209140306785,1.2074867596217218
56000,392143.80010813044,91292.92901653424,426.09397227548584,238.000994245573,1.2036872365590787
58000,391891.92510813044,90833.99894715665,423.9519954721965,237.13854368001603,1.2080649337558909
60000,393399.36260813044,90036.20115925325,420.22841214342856,237.1415624194616,1.208049555459353
62000,393331.92510813044,89934.86194741866,419.75542888193144,236.9975929587246,1.208783412039379
64000,393406.23760813044,91409.4738280233,426.6379250460939,235.869975531823,1.2145622113023706
66000,392792.30010813044,90143.59323401656,420.7296460968108,236.57945082949598,1.2109198751510912
68000,392267.11260813044,90357.9060089027,421.72991394388674,235.19728862905396,1.2180359762292694
70000,392899.61260813044,91180.97660235863,425.5714537258479,236.4494902579144,1.2115854373349744
72000,393010.80010813044,91330.43107848126,426.26900666988706,235.60046317747492,1.2159515953326716
74000,393158.80010813044,90985.77876095334,424.66040152804936,237.4211915884512,1.206626742731343
76000,393752.67510813044,90334.35083423182,421.6199742360552,237.2876945948968,1.2073055855292048
78000,392263.67510813044,90799.05037825601,423.7888790653878,236.4313284943547,1.2116785067618792
80000,392625.61260813044,91365.90883613133,426.43459297374875,236.29703222628086,1.212367148087715
82000,393238.55010813044,90901.4472167329,424.2667986164974,238.20576435046578,1.202652504413279
84000,392851.36260813044,90175.8527067327,420.8802116118098,236.73416918041488,1.2101284747088696
86000,392229.61260813044,90732.81556682289,423.47973952730433,237.40932732589297,1.206687042537786
88000,391201.30010813044,91670.21534396056,427.85489101990686,235.927244305232,1.2142673895310443
90000,392721.42510813044,91362.97492477391,426.4208994494193,235.63700702686597,1.21576301904524
92000,393414.48760813044,91059.85267887427,425.0061287411967,236.17027834471523,1.213017832174552
94000,392759.61260813044,91383.85139013955,426.5183367444053,236.53762789639558,1.2111339815551285
96000,392776.17510813044,91359.5455405768,426.40489339122024,236.43172297511103,1.2116764851048536
98000,392023.86260813044,91177.12073741434,425.5534571424502,236.89736910694006,1.2092948104140615
100000,392716.05010813044,91206.42429609923,425.6902264394413,235.91475025658792,1.2143316971498568
102000,392503.05010813044,90289.79584342986,421.41202151485305,238.01877686589424,1.2035973078845639
104000,392389.55010813044,90991.58902470884,424.6875199302106,237.31817680697017,1.2071505137795788
106000,392188.80010813044,90365.03682320961,421.76319578757733,236.0417062879276,1.2136785637039729
108000,392544.36260813044,90663.23751703883,423.15499600187417,236.7504464475153,1.2100452749316182
110000,391572.11260813044,89980.4667334701,419.96828134107324,235.8793166085556,1.214514113321694
112000,392555.17510813044,89954.25177809922,419.8459275663907,236.12817814872275,1.2132341057632328
114000,392277.23760813044,90829.00231400854,423.9286745503133,235.35423770514905,1.2172237128811192
116000,392273.86260813044,91515.04247913009,427.13064848461687,235.63784696805064,1.2157586854059557
118000,392277.23760813044,90489.15705885598,422.34250554153164,234.5421205632012,1.221438428090662
120000,391985.17510813044,91168.50781059824,425.51325779470744,235.64741247807592,1.2157093347605517
122000,392488.67510813044,91119.94739936222,425.28661046569977,235.6750563759869,1.2155667361111386
124000,392154.05010813044,89977.78913359297,419.9557841062918,236.36314188583236,1.2120280546961986
126000,391501.67510813044,90131.77497773233,420.67448642760354,235.58197610557912,1.2160470159796004
128000,392930.36260813044,89785.14018684207,419.05662843388575,236.53123092467646,1.211166736594697
130000,392148.11260813044,90940.77363168634,424.45034786333815,236.37679884593032,1.2119580282855635
132000,392733.67510813044,91440.37629146595,426.7821569547776,236.63344976690902,1.2106435474103812
134000,392899.92510813044,90189.54477982211,420.9441169971907,235.70506642454149,1.2154119697443169
136000,391249.92510813044,90814.75481182942,423.86217679562515,236.42271066891357,1.2117226735588524
138000,392454.17510813044,90893.23824188311,424.22848464476124,236.21787113369004,1.2127734353326352
140000,392510.05010813044,91108.6136278573,425.2337120454889,235.0876951961305,1.2186038015420655
142000,391927.73760813044,91204.28515207896,425.6802423543354,237.10783791707732,1.2082213796827583
144000,392728.67510813044,90788.47446966288,423.7395178393715,236.75558155625657,1.2100190296620124
146000,392082.61260813044,90871.61830850551,424.12757734128843,236.42879271079306,1.2116915024482513
148000,392320.92510813044,90569.91005541664,422.7194062001954,237.4522830463422,1.206468749790275
150000,393450.05010813044,90824.40996774286,423.90724056759973,236.6560364008757,1.2105280026599268
152000,393267.36260813044,90706.10466998909,423.355071031534,235.87111392499102,1.2145563494174605
154000,392728.80010813044,90497.37994189025,422.3808844273158,236.36195076703976,1.2120341625718039
156000,392365.67510813044,91452.10304398986,426.836889545994,235.83823141896536,1.2147256928535857
158000,392609.30010813044,92472.69255122123,431.6003147299985,236.20148585785182,1.2128575653168094
160000,392524.55010813044,90483.15921813576,422.3145116562977,235.76808813441735,1.2150870854856244
162000,393284.23760813044,90839.24669978488,423.9764884508638,236.3852038183505,1.2119149355977066
164000,392370.86260813044,90492.29548608372,422.3571536083487,237.1571097600038,1.2079703591921627
166000,392104.17510813044,89692.14968244324,418.62261132182635,235.96424888977626,1.2140769646658935
168000,391864.30010813044,90052.47070971096,420.30434745908053,237.3329170776428,1.20707554008636
170000,392835.73760813044,89407.62562046619,417.29464442360364,235.94590286064573,1.2141713655056217
172000,392070.67510813044,90638.88088650652,423.0413156372878,237.1506082883326,1.208003475637137
174000,392677.05010813044,90554.45396553073,422.6472675712098,236.87205154235446,1.2094240633135334
176000,391184.67510813044,91545.14485803875,427.2711461369795,234.60848030386825,1.2210929404202082
178000,392201.67510813044,91070.63049781695,425.05643234888265,235.0369940826266,1.218866673222753
180000,393735.42510813044,90562.8319041715,422.6863701522463,236.12328344881195,1.2132592554087172
182000,393004.98760813044,91123.02843083185,425.30099064773293,235.67356775785495,1.21557441416643
184000,391980.80010813044,90940.88288730348,424.4508577950536,235.2502347749631,1.2177618412827869
186000,391493.42510813044,89859.69576936774,419.40460373335196,235.72669506564228,1.2153004520001092
188000,391113.30010813044,90678.60451857373,423.22671882637445,235.34504063106488,1.217271280897145
190000,391807.80010813044,90299.4068212625,421.45687909326875,234.83108488847904,1.2199354237869122
192000,392212.73760813044,91198.28302115586,425.6522284453209,235.12690216348244,1.218400601657142
