#"Step","Time Remaining"
1730000,32:09
1740000,32:03
1750000,31:58
1760000,31:52
1770000,31:47
1780000,31:41
1790000,31:36
1800000,31:30
1810000,31:25
1820000,31:19
1830000,31:14
1840000,31:08
1850000,31:03
1860000,30:57
1870000,30:52
1880000,30:46
1890000,30:41
1900000,30:35
1910000,30:29
1920000,30:24
1930000,30:18
1940000,30:13
1950000,30:07
1960000,30:01
1970000,29:56
1980000,29:50
1990000,29:44
2000000,29:39
2010000,29:33
2020000,29:28
2030000,29:22
2040000,29:16
2050000,29:11
2060000,29:05
2070000,28:59
2080000,28:54
2090000,28:48
2100000,28:42
2110000,28:37
2120000,28:31
2130000,28:25
2140000,28:20
2150000,28:14
2160000,28:08
2170000,28:03
2180000,27:57
2190000,27:51
2200000,27:45
2210000,27:40
2220000,27:34
2230000,27:28
2240000,27:23
2250000,27:17
2260000,27:11
2270000,27:06
2280000,27:00
2290000,26:54
2300000,26:48
2310000,26:43
2320000,26:37
2330000,26:31
2340000,26:25
2350000,26:20
2360000,26:14
2370000,26:08
2380000,26:02
2390000,25:56
2400000,25:51
2410000,25:45
2420000,25:39
2430000,25:33
2440000,25:28
2450000,25:22
2460000,25:16
2470000,25:10
2480000,25:04
2490000,24:59
2500000,24:53
#"Step","Time Remaining"
10000,--
20000,2:08:37
30000,2:08:24
40000,2:08:19
50000,2:08:15
60000,2:08:12
70000,2:08:09
80000,2:08:00
90000,2:07:53
100000,2:07:45
110000,2:07:39
120000,2:07:32
130000,2:07:25
140000,2:07:17
150000,2:07:11
160000,2:07:05
170000,2:07:00
180000,2:06:55
190000,2:06:50
200000,2:06:43
210000,2:06:37
220000,2:06:31
230000,2:06:24
240000,2:06:19
250000,2:06:13
260000,2:06:07
270000,2:06:01
280000,2:05:55
290000,2:05:50
300000,2:05:44
310000,2:05:38
320000,2:05:31
330000,2:05:25
340000,2:05:20
350000,2:05:14
360000,2:05:08
370000,2:05:02
380000,2:04:56
390000,2:04:50
400000,2:04:44
410000,2:04:38
420000,2:04:32
430000,2:04:26
440000,2:04:20
450000,2:04:13
460000,2:04:07
470000,2:04:01
480000,2:03:54
490000,2:03:48
500000,2:03:42
510000,2:03:36
520000,2:03:29
530000,2:03:23
540000,2:03:17
550000,2:03:11
560000,2:03:05
570000,2:02:59
580000,2:02:53
590000,2:02:47
600000,2:02:42
610000,2:02:36
620000,2:02:30
630000,2:02:24
640000,2:02:18
650000,2:02:13
660000,2:02:07
670000,2:02:01
680000,2:01:55
690000,2:01:49
700000,2:01:43
710000,2:01:37
720000,2:01:31
730000,2:01:25
740000,2:01:19
750000,2:01:13
760000,2:01:07
770000,2:01:02
780000,2:00:56
790000,2:00:50
800000,2:00:44
810000,2:00:38
820000,2:00:33
830000,2:00:27
840000,2:00:21
850000,2:00:15
860000,2:00:10
870000,2:00:04
880000,1:59:58
890000,1:59:52
900000,1:59:46
910000,1:59:41
920000,1:59:35
930000,1:59:29
940000,1:59:23
950000,1:59:18
960000,1:59:12
970000,1:59:06
980000,1:59:00
990000,1:58:55
1000000,1:58:49
1010000,1:58:43
1020000,1:58:37
1030000,1:58:32
1040000,1:58:26
1050000,1:58:20
1060000,1:58:14
1070000,1:58:09
1080000,1:58:03
1090000,1:57:57
1100000,1:57:51
1110000,1:57:45
1120000,1:57:40
1130000,1:57:34
1140000,1:57:28
1150000,1:57:22
1160000,1:57:17
1170000,1:57:11
1180000,1:57:05
1190000,1:56:59
1200000,1:56:53
1210000,1:56:47
1220000,1:56:42
1230000,1:56:36
1240000,1:56:30
1250000,1:56:24
1260000,1:56:19
1270000,1:56:13
1280000,1:56:07
1290000,1:56:01
1300000,1:55:55
1310000,1:55:50
1320000,1:55:44
1330000,1:55:38
1340000,1:55:32
1350000,1:55:26
1360000,1:55:20
1370000,1:55:15
1380000,1:55:09
1390000,1:55:03
1400000,1:54:57
1410000,1:54:51
1420000,1:54:46
1430000,1:54:40
1440000,1:54:34
1450000,1:54:28
1460000,1:54:22
1470000,1:54:16
1480000,1:54:10
1490000,1:54:04
1500000,1:53:58
1510000,1:53:52
1520000,1:53:46
1530000,1:53:40
1540000,1:53:34
1550000,1:53:29
1560000,1:53:23
1570000,1:53:17
1580000,1:53:11
1590000,1:53:05
1600000,1:52:59
1610000,1:52:53
1620000,1:52:47
1630000,1:52:41
1640000,1:52:35
1650000,1:52:29
1660000,1:52:23
1670000,1:52:18
1680000,1:52:12
1690000,1:52:06
1700000,1:52:00
1710000,1:51:54
1720000,1:51:48
1730000,1:51:42
1740000,1:51:36
1750000,1:51:30
1760000,1:51:24
1770000,1:51:18
1780000,1:51:12
1790000,1:51:06
1800000,1:51:00
1810000,1:50:54
1820000,1:50:48
1830000,1:50:42
1840000,1:50:36
1850000,1:50:30
1860000,1:50:24
1870000,1:50:18
1880000,1:50:12
1890000,1:50:07
1900000,1:50:01
1910000,1:49:55
1920000,1:49:49
1930000,1:49:43
1940000,1:49:37
1950000,1:49:31
1960000,1:49:25
1970000,1:49:19
1980000,1:49:13
1990000,1:49:07
2000000,1:49:01
2010000,1:48:55
2020000,1:48:49
2030000,1:48:43
2040000,1:48:37
2050000,1:48:31
2060000,1:48:25
