#"Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
423090.17510813044,506.2998128286349,249.40569430706785,1.1486456227781827
422250.55010813044,502.0874493780497,249.40569430706785,1.1486456227781827
423481.67510813044,504.1524737467373,249.40569430706785,1.1486456227781827
422358.17510813044,498.5070681603184,249.40569430706785,1.1486456227781827
422698.17510813044,501.22665927406763,249.40569430706785,1.1486456227781827
422559.42510813044,497.3253064291928,249.40569430706785,1.1486456227781827
422671.67510813044,504.7760241141468,249.40569430706785,1.1486456227781827
422542.17510813044,503.38099823511794,249.40569430706785,1.1486456227781827
421884.17510813044,497.96682918312365,249.40569430706785,1.1486456227781827
422053.80010813044,500.6569345470572,249.40569430706785,1.1486456227781827
421708.36260813044,502.9030153154666,249.40569430706785,1.1486456227781827
421561.92510813044,503.89373123755246,249.40569430706785,1.1486456227781827
421357.80010813044,498.8885343849263,249.40569430706785,1.1486456227781827
423524.86260813044,491.8520909051822,249.40569430706785,1.1486456227781827
422725.55010813044,501.2575369954071,249.40569430706785,1.1486456227781827
422626.92510813044,496.7369928082523,249.40569430706785,1.1486456227781827
422540.17510813044,501.5259330007174,249.40569430706785,1.1486456227781827
421568.92510813044,501.6034962872319,249.40569430706785,1.1486456227781827
422491.73760813044,501.178068663242,249.40569430706785,1.1486456227781827
422150.42510813044,496.0049880069957,249.40569430706785,1.1486456227781827
422948.80010813044,500.2226796165746,249.40569430706785,1.1486456227781827
421918.42510813044,495.79992703366895,249.40569430706785,1.1486456227781827
422468.67510813044,500.2622949830913,249.40569430706785,1.1486456227781827
422582.17510813044,502.5320765419081,249.40569430706785,1.1486456227781827
422313.92510813044,500.2318053530671,249.40569430706785,1.1486456227781827
422121.67510813044,497.5638328732882,249.40569430706785,1.1486456227781827
422830.55010813044,499.997823247901,249.40569430706785,1.1486456227781827
423855.05010813044,503.9416566604882,249.40569430706785,1.1486456227781827
422975.05010813044,499.024444083498,249.40569430706785,1.1486456227781827
422808.61260813044,495.2597776945669,249.40569430706785,1.1486456227781827
422356.67510813044,495.91155206379017,249.40569430706785,1.1486456227781827
422646.48760813044,503.6856704747995,249.40569430706785,1.1486456227781827
422586.11260813044,501.19544219904066,249.40569430706785,1.1486456227781827
421723.23760813044,501.8662560912931,249.40569430706785,1.1486456227781827
421957.42510813044,502.55996146109396,249.40569430706785,1.1486456227781827
422192.30010813044,499.5675690496015,249.40569430706785,1.1486456227781827
423040.17510813044,496.17288797161194,249.40569430706785,1.1486456227781827
422143.36260813044,497.35242391661825,249.40569430706785,1.1486456227781827
422989.42510813044,499.9453965200605,249.40569430706785,1.1486456227781827
423171.92510813044,498.66432906168404,249.40569430706785,1.1486456227781827
422641.48760813044,499.2063841186048,249.40569430706785,1.1486456227781827
422546.30010813044,493.51454434861125,249.40569430706785,1.1486456227781827
421397.92510813044,499.5647973010091,249.40569430706785,1.1486456227781827
423619.80010813044,499.12230310722936,249.40569430706785,1.1486456227781827
422563.42510813044,503.8412734671056,249.40569430706785,1.1486456227781827
