#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
2000,385031.17510813044,390.8876305982647,233.1794275116627,1.2285764748583512
4000,391265.23760813044,418.44238484761365,234.74487937893974,1.2203834214390474
6000,391876.11260813044,422.0345263796039,235.21148141458286,1.2179624792924995
8000,392366.05010813044,420.2240366551437,236.7075232680082,1.210264697575354
10000,392501.92510813044,428.4452169533436,235.34331815957776,1.217280190073279
12000,392071.42510813044,427.6902431614878,235.79767954458188,1.2149345982329862
14000,392092.61260813044,424.15328951501596,236.32417049257208,1.2122279260079802
16000,392247.05010813044,423.6943793393102,236.25940900151136,1.2125602119826446
18000,393270.05010813044,425.18350003428355,236.31992642513168,1.2122496963984375
20000,392734.92510813044,420.403959317752,236.50122146504305,1.2113204206182548
22000,392482.92510813044,424.37233445190293,235.82525338872279,1.2147925421267307
24000,392860.17510813044,421.86046977734617,235.22610372357752,1.2178867673564762
26000,392033.73760813044,426.18309722684063,236.7724885503502,1.2099326269523354
28000,392602.61260813044,425.6117022483623,236.72638810602842,1.2101682510082261
30000,391836.23760813044,425.5809921369139,235.74239641381658,1.2152195083267459
32000,393181.92510813044,423.8555677827089,237.33044334426654,1.207088121628825
34000,392556.80010813044,421.7087364548014,237.86065967274075,1.2043973957522742
36000,392595.30010813044,421.31220404661957,236.9265214720743,1.2091460140545438
38000,392815.67510813044,418.61895516912006,236.15123674222414,1.2131156415432156
40000,393625.05010813044,423.57366264864646,235.00441068333342,1.2190356692827986
42000,392190.30010813044,426.884330161077,235.10094814806075,1.2185351072312554
44000,393466.67510813044,421.3326166240341,237.0211168256432,1.2086634427282095
46000,392445.17510813044,417.96164051974955,234.7576324502154,1.2203171248224272
48000,393968.86260813044,423.1462943169672,236.1363218039292,1.2131922648462297
50000,391781.61260813044,427.85149999939614,235.86059283083648,1.2146105274450607
52000,391936.48760813044,423.0772261285472,235.88771644376394,1.2144708651247809
54000,393682.55010813044,420.7643618521287,235.75655755170501,1.2151465140007307
56000,393348.55010813044,426.9701254586831,235.69900839733214,1.21544320873354
58000,392271.98760813044,421.05190732018576,235.57596520897664,1.2160780443269545
60000,393250.05010813044,424.88250254259555,236.70236244689895,1.210291084974003
62000,393748.80010813044,425.52762769149666,236.7406820098115,1.210095183597951
64000,392470.67510813044,424.9553704107351,237.59203257806558,1.2057591155445782
66000,393313.42510813044,426.2460624521644,236.95736707741924,1.2089886151046236
68000,393503.98760813044,421.77453677153125,237.29895570611748,1.2072482923884256
70000,392668.73760813044,422.8331123498531,236.75953397956374,1.2099988298105655
72000,393106.17510813044,421.16288950112585,236.19258699072296,1.212903261324705
74000,392311.42510813044,428.08727363341956,236.05370019795288,1.2136168965855143
76000,392875.92510813044,425.15670160231696,237.3208078755338,1.2071371306472831
78000,393936.05010813044,424.99492964796985,235.76764380242943,1.2150893754608367
80000,393084.17510813044,422.7100784034277,236.64468386642577,1.210586075212533
82000,393229.80010813044,422.4421822546751,236.38791581224746,1.2119010317316918
84000,393820.17510813044,428.3000982920646,235.36087539375666,1.2171893845248942
86000,391880.73760813044,424.48060702103896,235.37829469007696,1.2170993057748767
88000,392826.36260813044,419.38767786363667,236.3513445625999,1.212088552286151
90000,393484.92510813044,423.20859721897665,236.27005900106926,1.212505555181118
92000,392177.80010813044,424.87824213289156,235.98167596880432,1.213987305945052
94000,391682.80010813044,423.5380091163247,235.8476112008146,1.214677382582612
96000,393019.05010813044,425.20228429038315,235.1643858888598,1.2182063962574616
98000,392922.92510813044,421.69426643369854,235.5897960333289,1.2160066517534522
100000,392563.05010813044,420.30550150859784,235.47260144893713,1.2166118575960552
102000,391596.42510813044,424.06231123425135,236.89316329327409,1.209316280297654
104000,392310.30010813044,423.4515314978701,236.13454111315934,1.2132014135301024
106000,394051.61260813044,418.83786970363093,237.09022255493127,1.2083111482819284
108000,391357.80010813044,422.47303622576754,235.61972178138026,1.2158522083630008
110000,392301.98760813044,422.5951511051903,234.94097195775421,1.2193648331091438
112000,391934.36260813044,423.18852952005017,236.74224438858872,1.2100871975832956
114000,391815.30010813044,420.1180513079699,235.6284263388992,1.2158072924942038
116000,391692.55010813044,422.97321667988894,235.08852638167457,1.2185994930125112
118000,392194.17510813044,421.2034974295565,233.7651097241916,1.2254983620086406
120000,392246.92510813044,427.6888608560636,235.1907627203694,1.2180697734390895
122000,391758.05010813044,425.25938202763507,233.98877373877696,1.224326938785488
124000,392444.92510813044,425.8329123970395,236.26536995384592,1.212529619206277
126000,391785.67510813044,427.2332216376688,236.5657219865468,1.2109901496128788
128000,392658.55010813044,420.6307392030025,236.68407453316237,1.2103846007671621
130000,391920.80010813044,420.84906031330985,235.39422123232805,1.217016958028973
132000,392651.67510813044,421.53454562608044,235.81682684061641,1.2148359508517679
134000,394113.67510813044,421.2800251686387,236.3416915192884,1.2121380583348613
136000,393288.48760813044,421.69853783100905,236.01303367286707,1.213826010384026
138000,392947.48760813044,421.06923195330046,236.236140028067,1.2126796476937471
140000,392612.86260813044,420.1074199329209,236.64324297310574,1.2105934463310453
142000,392869.17510813044,423.52990165493134,236.7028274706436,1.2102887072495856
144000,391870.30010813044,428.5234864834403,235.968972237537,1.214052662709335
146000,393209.36260813044,420.0811229852229,235.07686722749017,1.2186599321341722
148000,391737.05010813044,426.4333213211474,237.103323816703,1.2082443824500517
150000,392078.48760813044,426.93241729017666,237.07932247486505,1.2083667022126707
152000,392817.48760813044,420.7990400060256,235.85937842929462,1.214616781276929
154000,391460.36260813044,421.49939749267446,235.84634161135548,1.2146839213382723
156000,392851.55010813044,421.7208574501762,237.56911203042995,1.2058754465735104
158000,393560.11260813044,425.26527824648423,237.56822938840438,1.2058799267868345
160000,392444.42510813044,423.2354563248709,237.9151444502379,1.2041215775639142
162000,392899.30010813044,423.8391310238343,236.74931811752853,1.210051041919164
164000,392021.86260813044,420.31331500962904,236.60520625142644,1.210788061685096
166000,391667.67510813044,424.4392734212,236.75078467163274,1.2100435462509898
168000,392609.42510813044,422.19784730716856,235.74746972446124,1.215193356673562
170000,392268.98760813044,425.4031351190305,236.29544559305128,1.2123752886678212
172000,393280.42510813044,420.9176161450484,236.63103533301387,1.2106559000538613
174000,391025.92510813044,423.9838110448892,236.7006749242644,1.2102997135662148
176000,391953.80010813044,422.98318505847425,238.49714687076238,1.2011831706188296
178000,392724.30010813044,424.14217773205013,237.46611486342556,1.206398475953212
180000,392412.80010813044,426.30378074429046,235.4258399081746,1.2168535075567959
182000,392849.80010813044,426.78196773292575,236.71253375532893,1.210239079937683
