Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,4:24:08
60000,4:24:07
80000,4:24:24
100000,4:26:05
120000,4:25:42
140000,4:25:32
160000,4:25:19
180000,4:25:04
200000,4:24:52
220000,4:24:36
240000,4:24:20
260000,4:24:05
280000,4:23:51
300000,4:23:39
320000,4:23:23
340000,4:23:10
360000,4:22:57
380000,4:22:43
400000,4:22:30
420000,4:22:15
440000,4:22:03
460000,4:21:50
480000,4:21:39
500000,4:21:26
520000,4:21:12
540000,4:21:00
560000,4:20:47
580000,4:20:34
600000,4:20:21
620000,4:20:07
640000,4:19:53
660000,4:19:38
680000,4:19:23
700000,4:19:09
720000,4:18:55
740000,4:18:41
760000,4:18:27
780000,4:18:12
800000,4:17:59
820000,4:17:44
840000,4:17:30
860000,4:17:16
880000,4:17:01
900000,4:16:47
920000,4:16:32
940000,4:16:18
960000,4:16:04
980000,4:15:50
1000000,4:15:37
1020000,4:15:23
1040000,4:15:10
1060000,4:14:57
1080000,4:14:44
1100000,4:14:31
1120000,4:14:18
1140000,4:14:05
1160000,4:13:53
1180000,4:13:39
1200000,4:13:26
1220000,4:13:13
1240000,4:12:59
1260000,4:12:47
1280000,4:12:34
1300000,4:12:21
1320000,4:12:08
1340000,4:11:54
1360000,4:11:41
1380000,4:11:28
1400000,4:11:14
1420000,4:11:01
1440000,4:10:47
1460000,4:10:34
1480000,4:10:21
1500000,4:10:08
1520000,4:09:56
1540000,4:09:43
1560000,4:09:30
1580000,4:09:18
1600000,4:09:05
1620000,4:08:52
1640000,4:08:40
1660000,4:08:27
1680000,4:08:14
1700000,4:08:01
1720000,4:07:48
1740000,4:07:35
1760000,4:07:22
1780000,4:07:09
1800000,4:06:56
1820000,4:06:43
1840000,4:06:30
1860000,4:06:18
1880000,4:06:05
1900000,4:05:52
1920000,4:05:39
1940000,4:05:27
1960000,4:05:14
1980000,4:05:01
2000000,4:04:49
2020000,4:04:36
2040000,4:04:23
2060000,4:04:10
2080000,4:03:57
2100000,4:03:44
2120000,4:03:31
2140000,4:03:18
2160000,4:03:05
2180000,4:02:52
2200000,4:02:38
2220000,4:02:25
2240000,4:02:12
2260000,4:01:59
2280000,4:01:45
2300000,4:01:33
2320000,4:01:19
2340000,4:01:06
2360000,4:00:52
2380000,4:00:39
2400000,4:00:26
2420000,4:00:13
2440000,4:00:00
2460000,3:59:47
2480000,3:59:34
2500000,3:59:22
2520000,3:59:08
2540000,3:58:56
2560000,3:58:43
2580000,3:58:30
2600000,3:58:17
2620000,3:58:04
2640000,3:57:51
2660000,3:57:38
2680000,3:57:25
2700000,3:57:12
2720000,3:56:59
2740000,3:56:46
2760000,3:56:33
2780000,3:56:20
2800000,3:56:07
2820000,3:55:54
2840000,3:55:41
2860000,3:55:28
2880000,3:55:15
2900000,3:55:02
2920000,3:54:49
2940000,3:54:37
2960000,3:54:24
2980000,3:54:11
3000000,3:53:58
3020000,3:53:46
3040000,3:53:33
3060000,3:53:20
3080000,3:53:08
3100000,3:52:55
3120000,3:52:43
3140000,3:52:30
3160000,3:52:18
3180000,3:52:05
3200000,3:51:53
3220000,3:51:40
3240000,3:51:27
3260000,3:51:15
3280000,3:51:02
3300000,3:50:50
3320000,3:50:37
3340000,3:50:25
3360000,3:50:12
3380000,3:50:00
3400000,3:49:47
3420000,3:49:35
3440000,3:49:22
3460000,3:49:10
3480000,3:48:57
3500000,3:48:44
3520000,3:48:32
3540000,3:48:19
3560000,3:48:07
3580000,3:47:54
3600000,3:47:41
3620000,3:47:28
3640000,3:47:16
3660000,3:47:03
3680000,3:46:50
3700000,3:46:38
3720000,3:46:25
3740000,3:46:13
3760000,3:46:00
3780000,3:45:48
3800000,3:45:35
3820000,3:45:23
3840000,3:45:10
3860000,3:44:57
3880000,3:44:44
3900000,3:44:32
3920000,3:44:19
3940000,3:44:06
3960000,3:43:53
3980000,3:43:40
4000000,3:43:27
4020000,3:43:15
4040000,3:43:02
4060000,3:42:49
4080000,3:42:36
4100000,3:42:23
4120000,3:42:10
4140000,3:41:57
4160000,3:41:44
4180000,3:41:31
4200000,3:41:18
4220000,3:41:05
4240000,3:40:52
4260000,3:40:40
4280000,3:40:27
4300000,3:40:14
4320000,3:40:01
4340000,3:39:48
4360000,3:39:35
4380000,3:39:23
4400000,3:39:10
4420000,3:38:57
4440000,3:38:44
4460000,3:38:31
4480000,3:38:18
4500000,3:38:06
4520000,3:37:53
4540000,3:37:40
4560000,3:37:27
4580000,3:37:14
4600000,3:37:02
4620000,3:36:49
4640000,3:36:36
4660000,3:36:23
4680000,3:36:10
4700000,3:35:57
4720000,3:35:44
4740000,3:35:31
4760000,3:35:19
4780000,3:35:06
4800000,3:34:53
4820000,3:34:40
4840000,3:34:27
4860000,3:34:15
4880000,3:34:02
4900000,3:33:49
4920000,3:33:36
4940000,3:33:24
4960000,3:33:11
4980000,3:32:58
5000000,3:32:45
5020000,3:32:32
5040000,3:32:20
5060000,3:32:07
5080000,3:31:54
5100000,3:31:41
5120000,3:31:28
5140000,3:31:15
5160000,3:31:02
5180000,3:30:49
5200000,3:30:37
5220000,3:30:24
5240000,3:30:11
5260000,3:29:58
5280000,3:29:45
5300000,3:29:33
5320000,3:29:20
5340000,3:29:07
5360000,3:28:54
5380000,3:28:41
5400000,3:28:28
5420000,3:28:15
5440000,3:28:02
5460000,3:27:50
5480000,3:27:37
5500000,3:27:24
5520000,3:27:11
5540000,3:26:59
5560000,3:26:46
5580000,3:26:33
5600000,3:26:20
5620000,3:26:08
5640000,3:25:55
5660000,3:25:42
5680000,3:25:29
5700000,3:25:17
5720000,3:25:04
5740000,3:24:51
5760000,3:24:38
5780000,3:24:26
5800000,3:24:13
5820000,3:24:00
5840000,3:23:47
5860000,3:23:35
5880000,3:23:22
5900000,3:23:09
5920000,3:22:57
5940000,3:22:44
5960000,3:22:31
5980000,3:22:18
6000000,3:22:06
6020000,3:21:53
6040000,3:21:40
6060000,3:21:28
6080000,3:21:15
6100000,3:21:02
6120000,3:20:49
6140000,3:20:37
6160000,3:20:24
6180000,3:20:11
6200000,3:19:59
6220000,3:19:46
6240000,3:19:33
6260000,3:19:20
6280000,3:19:07
6300000,3:18:55
6320000,3:18:42
6340000,3:18:29
6360000,3:18:16
6380000,3:18:03
6400000,3:17:51
6420000,3:17:38
6440000,3:17:25
6460000,3:17:12
6480000,3:16:59
6500000,3:16:46
6520000,3:16:33
6540000,3:16:20
6560000,3:16:08
6580000,3:15:55
6600000,3:15:42
6620000,3:15:29
6640000,3:15:16
6660000,3:15:03
6680000,3:14:51
6700000,3:14:38
6720000,3:14:25
6740000,3:14:12
6760000,3:13:59
6780000,3:13:46
6800000,3:13:34
6820000,3:13:21
6840000,3:13:08
6860000,3:12:55
6880000,3:12:42
6900000,3:12:30
6920000,3:12:17
6940000,3:12:04
6960000,3:11:51
6980000,3:11:38
7000000,3:11:26
7020000,3:11:13
7040000,3:11:00
7060000,3:10:47
7080000,3:10:34
7100000,3:10:22
7120000,3:10:09
7140000,3:09:56
7160000,3:09:44
7180000,3:09:31
7200000,3:09:18
7220000,3:09:05
7240000,3:08:53
7260000,3:08:40
7280000,3:08:27
7300000,3:08:14
7320000,3:08:02
7340000,3:07:49
7360000,3:07:36
7380000,3:07:23
7400000,3:07:11
7420000,3:06:58
7440000,3:06:45
7460000,3:06:32
7480000,3:06:19
7500000,3:06:07
7520000,3:05:54
7540000,3:05:41
7560000,3:05:28
7580000,3:05:15
7600000,3:05:03
7620000,3:04:50
7640000,3:04:37
7660000,3:04:24
7680000,3:04:12
7700000,3:03:59
7720000,3:03:46
7740000,3:03:33
7760000,3:03:21
