#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1002000,277.52197265625,409.0053948156402
1004000,231.91156005859375,439.60520379590224
1006000,237.1783447265625,452.99276867702196
1008000,251.0743408203125,490.89917924681487
1010000,281.93792724609375,484.83158724860374
1012000,328.451416015625,458.036709469384
1014000,260.95172119140625,540.2907675478625
1016000,275.263671875,493.5208219008775
1018000,211.75958251953125,445.0421346794742
1020000,321.51190185546875,425.6267303424068
1022000,320.126220703125,491.7727138689211
1024000,183.59588623046875,511.2065388135034
1026000,255.77410888671875,486.18603380914567
1028000,280.7696533203125,449.1095549083443
1030000,296.4801025390625,488.97440968229233
1032000,209.81256103515625,515.7049617353633
1034000,268.8680419921875,464.9953349895158
1036000,268.927001953125,460.66651137760715
1038000,191.45361328125,479.4614320640086
1040000,246.86962890625,463.9544903905616
1042000,181.37744140625,425.65379000552326
1044000,188.99603271484375,428.4413961113594
1046000,263.45159912109375,414.0530426417209
1048000,304.0244140625,530.0687566374169
1050000,240.3887939453125,461.04200351060655
1052000,264.1566162109375,488.1143921796542
1054000,231.49420166015625,518.2289353220747
1056000,222.41094970703125,441.67622884313687
1058000,224.73968505859375,522.4153095682352
1060000,238.33154296875,531.2316756729659
1062000,298.38848876953125,438.5357690993397
1064000,262.24786376953125,507.77831254177954
1066000,228.4996337890625,455.5010576456053
1068000,298.54119873046875,438.3240647880566
1070000,227.71771240234375,470.78988722874
1072000,257.07879638671875,549.7501229315121
1074000,250.904541015625,453.11836732347535
1076000,225.3885498046875,469.922574550158
1078000,209.59173583984375,491.88517707802094
1080000,233.8741455078125,543.0713700643033
1082000,227.03106689453125,469.88513312390126
1084000,343.63818359375,473.2848675608591
1086000,270.09130859375,434.4710252867833
1088000,217.758056640625,454.7900179810618
1090000,293.79864501953125,493.77807631199687
1092000,354.49005126953125,470.75020211091606
1094000,237.8602294921875,457.5450021367932
1096000,159.51226806640625,521.1746856302897
1098000,250.30718994140625,429.14138921503434
1100000,247.0465087890625,560.6829038927526
1102000,263.9010009765625,420.7587970835742
1104000,311.8756103515625,462.2996056099086
1106000,350.33001708984375,389.87408725758246
1108000,282.461669921875,466.6414134022313
1110000,240.61749267578125,472.017274732688
1112000,185.78179931640625,534.2363386820609
1114000,250.798583984375,462.45554462409376
1116000,286.173095703125,466.54103498430754
1118000,331.082763671875,490.1719513250721
1120000,324.4151611328125,599.9959338948
1122000,248.85784912109375,522.4890625100753
1124000,189.9615478515625,500.8773855663086
1126000,289.0377197265625,473.44465076920955
1128000,211.67822265625,407.72309673190307
1130000,225.2265625,440.57574219232674
1132000,315.55511474609375,479.4683352702028
1134000,296.99835205078125,417.8575357217337
1136000,211.098876953125,529.9417616168886
1138000,199.89715576171875,497.38404231837995
1140000,284.41424560546875,489.3274139584997
1142000,253.9481201171875,437.857831152213
1144000,277.87750244140625,440.6892415927591
1146000,259.4168701171875,454.7139610500013
1148000,224.93865966796875,523.339388020807
1150000,328.1895751953125,468.1854898881364
1152000,244.93994140625,425.72701539977925
1154000,289.61480712890625,452.7516726726832
1156000,257.9984130859375,426.8503615048832
1158000,258.28143310546875,469.1208968086821
1160000,221.61138916015625,497.30957097127157
1162000,221.64459228515625,567.832142356963
1164000,207.0115966796875,474.74526353877434
1166000,295.1793212890625,392.4060223152562
1168000,299.71807861328125,564.7488840242235
1170000,287.31524658203125,395.4380891620685
1172000,296.7291259765625,451.0063044971653
1174000,173.7950439453125,340.9562025566082
1176000,277.072021484375,378.48974016089863
1178000,276.2867431640625,398.13576308323485
1180000,272.72607421875,439.00548969393157
1182000,239.64898681640625,515.4755880659575
1184000,269.71331787109375,459.1653486275191
1186000,178.10736083984375,470.26660662237964
1188000,229.2171630859375,464.8809266831705
1190000,236.59075927734375,478.72272483214795
1192000,202.04022216796875,467.15657222869106
1194000,213.1536865234375,526.9896758861282
1196000,261.98699951171875,487.24215209838655
1198000,201.066162109375,448.4971912786349
1200000,222.51470947265625,485.6436763358592
1202000,296.03411865234375,432.63975225659294
1204000,257.85888671875,454.0139615931253
1206000,290.0736083984375,416.3117716733744
1208000,206.66302490234375,426.32725168160124
1210000,192.5655517578125,484.0892075900305
1212000,287.47186279296875,461.02053806062605
1214000,311.5743408203125,425.8845459135692
1216000,240.2662353515625,488.3709573918529
1218000,295.08819580078125,454.1116802408221
1220000,258.67364501953125,500.633047180458
1222000,357.314208984375,441.3630617065274
1224000,290.135498046875,492.5996610876108
1226000,191.72955322265625,471.8951537829608
1228000,297.98919677734375,493.0560818667117
1230000,322.31524658203125,446.470082147047
1232000,315.73638916015625,456.1995953674446
1234000,272.07373046875,450.8532929539949
1236000,223.12689208984375,500.7860063403484
1238000,360.64068603515625,465.6229331331892
1240000,301.91522216796875,480.3348915118201
1242000,262.5147705078125,532.2729403882754
1244000,259.42156982421875,476.7439766376669
1246000,306.5850830078125,486.2433989787723
1248000,348.4674072265625,451.3341077777151
1250000,244.55938720703125,434.16499066316953
1252000,270.06024169921875,499.1290874082488
1254000,235.6666259765625,456.0752835032236
1256000,239.37359619140625,424.3583236814381
1258000,252.6466064453125,506.7170562736182
1260000,283.7950439453125,426.90834749601066
1262000,263.3369140625,484.53450314058273
1264000,266.938720703125,442.84411120233517
1266000,315.48004150390625,431.24533921718194
1268000,236.47052001953125,409.9427766295941
1270000,341.44720458984375,471.09892421763226
1272000,315.51275634765625,507.5764708137259
1274000,218.39752197265625,504.80702980208656
1276000,275.73321533203125,514.1456403095939
1278000,292.28839111328125,503.63317620577686
1280000,257.8251953125,403.0414738124031
1282000,347.45513916015625,431.8864222977724
1284000,261.37823486328125,427.18156659378576
1286000,315.5003662109375,475.30171809652177
1288000,274.11627197265625,444.7563333103815
1290000,190.7486572265625,400.2768109487308
1292000,211.03131103515625,381.70097836533415
1294000,257.4212646484375,441.3668467721685
1296000,300.69598388671875,427.5277747581156
1298000,322.26409912109375,452.87360306838474
1300000,243.4893798828125,397.2330020073053
1302000,241.6466064453125,394.75433323699076
1304000,296.00225830078125,476.42044974747057
1306000,223.22137451171875,458.47172051415214
1308000,234.1856689453125,467.78849595364557
1310000,311.0618896484375,476.5439761509462
1312000,248.44427490234375,519.3987355778922
1314000,291.04791259765625,412.8096442254542
1316000,366.8466796875,502.48189344116435
1318000,255.25787353515625,473.80106545771906
1320000,244.880615234375,421.5428982936698
1322000,341.33941650390625,409.0955069245377
1324000,292.2332763671875,539.8650187560839
1326000,304.19207763671875,450.022438989238
1328000,246.484375,447.5478108127594
1330000,264.843994140625,436.28009335330205
1332000,374.392333984375,548.7588243814291
1334000,274.10357666015625,438.4895806769464
1336000,263.50372314453125,504.61663709705897
1338000,205.9808349609375,538.4208653543615
1340000,326.22760009765625,409.1058937046066
1342000,321.57171630859375,447.77101709916116
1344000,225.89111328125,458.10284489171323
1346000,212.51837158203125,480.4781435441339
1348000,308.17523193359375,449.9987203161388
1350000,266.934326171875,381.476560756276
1352000,322.79998779296875,383.8053310869175
1354000,235.28460693359375,502.2384706040848
1356000,267.86676025390625,424.21660810865603
1358000,205.86553955078125,473.215289536676
1360000,252.2593994140625,539.0417781873831
1362000,217.02716064453125,444.09195788973295
1364000,300.2974853515625,446.0515012991736
1366000,249.84002685546875,469.6861776603157
1368000,288.01910400390625,497.97107380696133
1370000,159.172119140625,476.50676722067095
1372000,256.78497314453125,425.79953942602185
1374000,227.90277099609375,534.0171223109031
1376000,296.3707275390625,426.7627061630634
1378000,292.06243896484375,506.61548219901664
1380000,243.70648193359375,449.83037331486634
1382000,333.92877197265625,433.18832375553006
1384000,266.82427978515625,521.047131419561
1386000,167.09710693359375,510.5229089583362
1388000,267.89837646484375,465.3724377797338
1390000,256.91851806640625,425.57015929140266
1392000,218.614013671875,373.18459206663346
1394000,282.69073486328125,435.8413319958212
1396000,234.37713623046875,498.9398859767591
1398000,227.46356201171875,413.6498767662856
1400000,223.64947509765625,403.40505223035274
1402000,379.52227783203125,434.08333589344807
1404000,299.73907470703125,464.4949439582727
1406000,195.72821044921875,436.8669088555829
1408000,330.6943359375,524.5170534169577
