Warning: 'advanced_options.json' have been modified after configuration by elwood. This is possible but not recommended.
#"Step","Time Remaining"
20000,--
40000,3:54:04
60000,3:53:43
80000,3:53:30
100000,3:54:49
120000,3:54:36
140000,3:54:29
160000,3:54:33
180000,3:54:38
200000,3:54:45
220000,3:54:47
240000,3:54:47
260000,3:54:44
280000,3:54:40
300000,3:54:36
320000,3:54:29
340000,3:54:23
360000,3:54:16
380000,3:54:08
400000,3:54:00
420000,3:53:52
440000,3:53:42
460000,3:53:33
480000,3:53:22
500000,3:53:13
520000,3:53:03
540000,3:52:52
560000,3:52:42
580000,3:52:32
600000,3:52:22
620000,3:52:11
640000,3:52:01
660000,3:51:50
680000,3:51:40
700000,3:51:30
720000,3:51:20
740000,3:51:09
760000,3:50:58
780000,3:50:48
800000,3:50:37
820000,3:50:27
840000,3:50:16
860000,3:50:05
880000,3:49:54
900000,3:49:43
920000,3:49:32
940000,3:49:21
960000,3:49:10
980000,3:48:59
1000000,3:48:48
1020000,3:48:36
1040000,3:48:25
1060000,3:48:14
1080000,3:48:03
1100000,3:47:52
1120000,3:47:40
1140000,3:47:29
1160000,3:47:17
1180000,3:47:06
1200000,3:46:55
1220000,3:46:43
1240000,3:46:32
1260000,3:46:20
1280000,3:46:09
1300000,3:45:58
1320000,3:45:46
1340000,3:45:35
1360000,3:45:23
1380000,3:45:12
1400000,3:45:01
1420000,3:44:49
1440000,3:44:38
1460000,3:44:27
1480000,3:44:15
1500000,3:44:04
1520000,3:43:52
1540000,3:43:41
1560000,3:43:30
1580000,3:43:19
1600000,3:43:08
1620000,3:42:56
1640000,3:42:45
1660000,3:42:34
1680000,3:42:23
1700000,3:42:11
1720000,3:42:00
1740000,3:41:49
1760000,3:41:38
1780000,3:41:26
1800000,3:41:15
1820000,3:41:04
1840000,3:40:52
1860000,3:40:41
1880000,3:40:30
1900000,3:40:18
1920000,3:40:07
1940000,3:39:56
1960000,3:39:44
1980000,3:39:33
2000000,3:39:21
2020000,3:39:10
2040000,3:38:59
2060000,3:38:47
2080000,3:38:36
2100000,3:38:24
2120000,3:38:13
2140000,3:38:02
2160000,3:37:50
2180000,3:37:39
2200000,3:37:27
2220000,3:37:16
2240000,3:37:05
2260000,3:36:53
2280000,3:36:42
2300000,3:36:30
2320000,3:36:19
2340000,3:36:07
2360000,3:35:56
2380000,3:35:45
2400000,3:35:33
2420000,3:35:22
2440000,3:35:11
2460000,3:34:59
2480000,3:34:48
2500000,3:34:37
2520000,3:34:25
2540000,3:34:14
2560000,3:34:02
2580000,3:33:51
2600000,3:33:40
2620000,3:33:28
2640000,3:33:17
2660000,3:33:06
2680000,3:32:54
2700000,3:32:43
2720000,3:32:31
2740000,3:32:20
2760000,3:32:09
2780000,3:31:57
2800000,3:31:46
2820000,3:31:34
2840000,3:31:23
2860000,3:31:12
2880000,3:31:00
2900000,3:30:49
2920000,3:30:37
2940000,3:30:26
2960000,3:30:14
2980000,3:30:03
3000000,3:29:51
3020000,3:29:40
3040000,3:29:29
3060000,3:29:17
3080000,3:29:06
3100000,3:28:54
3120000,3:28:43
3140000,3:28:31
3160000,3:28:20
3180000,3:28:08
3200000,3:27:57
3220000,3:27:45
3240000,3:27:34
3260000,3:27:23
3280000,3:27:11
3300000,3:27:00
3320000,3:26:48
3340000,3:26:37
3360000,3:26:25
3380000,3:26:14
3400000,3:26:03
3420000,3:25:51
3440000,3:25:40
3460000,3:25:29
3480000,3:25:17
3500000,3:25:06
3520000,3:24:54
3540000,3:24:43
3560000,3:24:32
3580000,3:24:20
3600000,3:24:09
3620000,3:23:57
3640000,3:23:46
3660000,3:23:35
3680000,3:23:23
3700000,3:23:12
3720000,3:23:00
3740000,3:22:49
3760000,3:22:38
3780000,3:22:26
3800000,3:22:15
3820000,3:22:03
